"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R7,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10kΩ";;;
2;"C2,C1,C6";"CP_Radial_D6.3mm_P2.50mm";3;"220uF";;;
3;"TP1,TP3,TP4,TP2";"1x1_100mil_Header";4;"~";;;
4;"U1";"SSOP-28";1;"PIC16F1788-IP";;;
5;"R5,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"3.3kΩ";;;
6;"C7,C8,C13,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"0.1uF";;;
7;"D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"TX";;;
8;"J3,J5,J4";"1x4_100mil_Header";3;"I2C";;;
9;"D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"RX";;;
10;"C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10nF";;;
11;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"PWR LED";;;
12;",";"";2;"";;;
13;"REF**,REF**";"M3 Mounting";2;"M3 Mounting";;;
14;"J1";"AMASS_XT30PW-M_1x02_P2.50mm_Horizontal";1;"+5V";;;
15;"L1";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2uH";;;
16;"J6";"USB_Micro-B_Amphenol";1;"USB_B_Mini";;;
17;"U2";"SSOP-28";1;"FT232RL";;;
18;"J2";"1x6_100mil_Header";1;"ICSP";;;
19;"C4,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1uF";;;
20;"C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7uF";;;
21;"C10,C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"47pF";;;
22;"R4,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"220Ω";;;
23;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"4.7kΩ";;;
24;"D2";"Diode_0805";1;"1N4148";;;
