"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BT1","???","~","","1",""
"C1,C2","10uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C3,C4,C5","1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3",""
"D1","LED","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"D2","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"DS1","LK204-25","","","1",""
"J1","RJ11 Header","","AlexWheelockFootprintLibrary:RJ11_Connector","1",""
"J2","~","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1",""
"R1","2.2KΩ","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R2","10kΩ","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R3,R4","4.7kΩ","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"U1","AMS1117-5","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U2","PIC16F1788-IP","","","1",""
