"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"TP3,TP4,TP1,TP2";"1x1_100mil_Header";4;"~";;;
2;"C4,C1,C2,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"1uF";;;
3;",,";"";3;"";;;
4;"R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"4.7kΩ";;;
5;"C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22uF";;;
6;"R12,R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"90Ω";;;
7;"R7,R1,R5,R6,R2,R4,R3,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"330Ω";;;
8;"REF**";"M3 Mounting";1;"M3 Mounting";;;
9;"J3,J2";"1x4_100mil_Header";2;"I2C";;;
10;"U1";"SSOP-28";1;"PIC16F1788-IP";;;
11;"C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1uF";;;
12;"J1";"1x6_100mil_Header";1;"ICSP";;;
13;"D1";"Diode_0805";1;"1N4148";;;
14;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"150Ω";;;
15;"SW1";"SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm";1;"I2C Address";;;
16;"R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10kΩ";;;
17;"D6";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
18;"D5,D2,D3,D4";"IN-P32TRRRGB";4;"IN-P32TRRRGB";;;
19;"U2";"IR Receiver";1;"TSSP4038";;;
20;"U3";"IR Receiver";1;"TSOP53456";;;
